ID,ファイル名,施設名,場所,イベント名,競技,ｲﾍﾞﾝﾄ内容,開催日,実施時間,申込方法,費用,対象,最寄駅,住所,電話,問い合わせ,ＵＲＬ,最近身体が痛いな…,身体の状態を知りたい!,やせたい!,きれいになりたい!,新感覚!?,みんなでワイワイ!,一人で参加OK!,若者には負けないぞ!,親子でエンジョイ!,子どもに運動を!,まずは体験!,習いたい!
15,スポーツセンター,浪速スポーツセンター,,インディアカ体験参加教室,ニュースポーツ,初心者向けの体験教室,9/24(日),10:00~16:00,事前(FAX)・先着順50名(8/31締切),無料,どなたでも,地下鉄「なんば」駅,浪速区難波中3-8-8,電話:06-6643-6444,大阪市インディアカ協会電話:090-8665-2711FAX06-6791-5224,http://osakashi.opas.jp/genre/Table_tennis/tyubu_kitaku_tyuoku_nishiku_tennojiku_naniwaku/naniwa_spocen/index.html,,,,,1,1,1,,,,1,1
16,大会,鶴見緑地庭球場,,オータム・チャレンジ・スポーツ2017テニス大会,テニス,ﾀﾞﾌﾞﾙｽの大会(夫婦ﾀﾞﾌﾞﾙｽ、親子ﾀﾞﾌﾞﾙｽ、交流ﾀﾞﾌﾞﾙｽ),9/24(日),9:00~17:00,事前(Eメール・申込書送付)・抽選各32組(8/25締切),2000円,親子ダブルス(小学生と親又は祖父母)/交流ダブルス(男子・女子・男女のペア),地下鉄「鶴見緑地」駅,鶴見区浜1-2-6,06-6915-2500,大阪市テニス協会/電話:090-3622-9029/Eﾒｰﾙ:octa@sound.ocn.ne.jp,,,,,,,1,1,1,,,,
17,大会,鶴見緑地庭球場,,PLAY＆STAYレッスン,ニュースポーツ,子どもで初心者向けの教室,9/24(日),10:00~10:40/11:00~11:40/12:00~12:40,事前(Eメール・申込書送付)・抽選各回20名(8/25締切),無料,小学生(初心者対象),地下鉄「鶴見緑地」駅,鶴見区浜1-2-6,06-6915-2500,大阪市テニス協会/電話:090-3622-9029/Eﾒｰﾙ:octa@sound.ocn.ne.jp,,,,,,,1,1,,,1,,1
18,大会,長居庭球場,,ジュニア硬式テニス大会,テニス,シングルス大会,9/24(日),9:00~15:00,事前(電話・FAX)・先着順(9/9締切)60名,500円,中学生以上,地下鉄・JR「長居」駅,東住吉区長居公園1-1,06-6698-1235,大阪市コミュニティ協会東住吉区支部協議会電話:06-6115-8236FAX:06-6115-8260,,,,,,,1,1,1,,,,
19,スポーツセンター,西成スポーツセンター,,かんたんエアロビクス,エアロビクス,エアロビクスの簡単な動きから指導する教室。,9/29(金),13:00~14:00,事前受付先着順12名,300円,18歳以上,南海「岸里玉出」駅/地下鉄「岸里」駅,西成区玉出東1-6-1,電話:06-4398-1603,西成スポーツセンター電話:06-4398-1603,http://osakashi.opas.jp/genre/Table_tennis/nambu_abenoku_suminoeku_sumiyoshiku_higashisumiyoshiku_hiranoku_nishinariku/ninarispc/index.html,,,1,,,,1,,,,,1
20,スポーツセンター,西成スポーツセンター,,背骨コンディショニング,体操,背骨のゆがみを整え、周りの筋肉や神経を緩める体操。,9/29(金),14:30~15:30,事前受付先着順12名,300円,18歳以上,南海「岸里玉出」駅/地下鉄「岸里」駅,西成区玉出東1-6-1,電話:06-4398-1603,西成スポーツセンター電話:06-4398-1603,http://osakashi.opas.jp/genre/Table_tennis/nambu_abenoku_suminoeku_sumiyoshiku_higashisumiyoshiku_hiranoku_nishinariku/ninarispc/index.html,1,,,,,,1,1,,,,
21,フェスタ,長居障がい者スポーツセンター,,2017ENJOY！長居フェスティバル(障がい者スポーツの祭典・体力測定),その他,障がい者スポーツの祭典1障がい者スポーツの理解・体験(パラリンピック種目から健康づくりスポーツまで、さまざまなスポーツを体験できるよう、誰もがチャレンジできるよう、充実した内容を提供します。)2体力測定(障がいのある・なし、障がいのある人でも取り組めるよう工夫しています。)3バザー(福祉施設や障がい者団体などから出店予定),10/1(日),10:00~16:00,当日受付,無料,障がいのある方、ない方、誰でも参加できます,地下鉄・JR「長居」駅,東住吉区長居公園1-32,電話:06-6697-8681,大阪市長居障がい者スポーツセンター電話:06-6697-8681,,,,,,,,1,1,,,1,
22,フェスタ,長居障がい者スポーツセンター,,2017ENJOY！長居フェスティバル(障がい者スポーツの祭典・体力測定),体力・身体測定,障がい者スポーツの祭典1障がい者スポーツの理解・体験(パラリンピック種目から健康づくりスポーツまで、さまざまなスポーツを体験できるよう、誰もがチャレンジできるよう、充実した内容を提供します。)2体力測定(障がいのある・なし、障がいのある人でも取り組めるよう工夫しています。)3バザー(福祉施設や障がい者団体などから出店予定),10/1(日),10:00~16:00,当日受付,無料,障がいのある方、ない方、誰でも参加できます,地下鉄・JR「長居」駅,東住吉区長居公園1-32,電話:06-6697-8681,大阪市長居障がい者スポーツセンター電話:06-6697-8681,,1,1,,,,,1,,,,1,
23,フェスタ,ヤンマースタジアム長居,,第39回大阪市スポーツ少年団まつり,その他,大阪市スポーツ少年団の運動会。市内に居住する小・中学生及びその保護者も参加いただけます。,10/1(日),9:00~16:30,当日受付(9:30~),無料,市内に居住する小・中学生及びその保護者,地下鉄・JR「長居」駅,東住吉区長居公園1-1,06-6691-2500,大阪市経済戦略局スポーツ部電話:06-6469-3883,,,,,,,1,1,1,,,,
24,フェスタ,舞洲障がい者スポーツセンター,,2017アミティフェスティバル(運動会),その他,みんなで楽しめる運動会,10/7(土),10:30~15:00,当日受付,無料,障がいのある方、ない方、誰でも参加できます,市バス「アミティ舞洲」バス停,此花区北港白津2-1-46,電話:06-6465-8200,大阪市舞洲障がい者スポーツセンター電話:06-6465-8200,,,,,,,1,1,1,,,,
25,フェスタ,山之内西庭球場,,オータム・チャレンジ・スポーツソフトテニスの日,ニュースポーツ,小学生のソフトテニス講習会及びゲーム、練習,10/7(土),9:00~17:00,事前(FAX)(9/25締切)定員120名,500円(午前のみ300円),小学生,JR「杉本町」駅,住吉区山之内5,,大阪市ソフトテニス連盟電話:06-6691-7052FAX:06-6606-0222,,,,,,1,1,1,,,1,,
26,スポーツセンター,淀川スポーツセンター,,こんなスポーツもあるヨ！ニュースポーツ体験,ニュースポーツ,フリスビー、カローリング、フロッカー(第2体育場),10/8(日),9:30~13:00,当日受付・先着順,無料,どなたでも,地下鉄・JR「新大阪」駅,淀川区西宮原2-1-3,電話:06-6350-4555,淀川スポーツセンター電話:06-6350-4555,http://osakashi.opas.jp/genre/Table_tennis/hokubu_nishiyodogawaku_yodogawaku_higashiyodogawaku/spocen/index.html,,,,,1,1,1,,,,1,
27,スポーツセンター,淀川スポーツセンター,,新体力テスト・健康チェック,体力・身体測定,握力、上体起こしなど体力測定(第1体育場),10/8(日),9:30~13:00,当日受付(12時まで)先着順100名,無料,3歳~79歳まで,地下鉄・JR「新大阪」駅,淀川区西宮原2-1-3,電話:06-6350-4555,淀川スポーツセンター電話:06-6350-4555,http://osakashi.opas.jp/genre/Table_tennis/hokubu_nishiyodogawaku_yodogawaku_higashiyodogawaku/spocen/index.html,1,1,,,,,1,1,,,,
28,スポーツセンター,東淀川体育館,,バドミントン教室,バドミントン,午前:有名コーチ及び指導員により実技指導午後:参加者による交歓会,10/8(日),9:00~21:00,事前(FAX、はがき)・抽選(9/22締切),中学生800円/高校生以上1000円,市内在住・在勤・在学の中学生以上の方,地下鉄「新大阪」駅,東淀川区東中島4-4-4,電話:06-6321-0003,大阪市バドミントン協会電話:090-7753-0194(9:00~17:00まで)FAX:06-7182-8802,http://osakashi.opas.jp/genre/Table_tennis/hokubu_nishiyodogawaku_yodogawaku_higashiyodogawaku/taiikukan/index.html,,,,,,1,1,1,,,,
29,大会,大阪城公園太陽の広場,,ゲートボール大会,ニュースポーツ,各コート6チームで編成し、リンク戦を行う。1チーム3試合。各チームは監督を含めて9名以内とする。,10/8(日),9:00~16:00,事前(申込用紙、参加費を送付)(9/5締切),1000円,市内在住・在勤の方(年齢不問、ただし小学生は保護者同伴),JR「大阪城公園」駅,中央区大阪城3,,大阪市ゲートボール連盟電話:06-6633-7639,,,,,,1,1,1,,1,1,,
30,大会,生野スポーツセンター,,第12回スリーアイズ市民大会,ニュースポーツ,ニュースポーツ「スリーアイズ」の大会,10/8(日),9:00~16:00,事前(ハガキ・FAX)・先着順(9/22必着),1チーム500円,市内在住・在勤の方,市バス「大池橋」バス停,生野区巽西1-1-3,06-6758-4500,生野区役所市民協働課電話:06-6715-9009FAX:06-6717-1163,,,,,,1,1,1,,,,,
31,プール,扇町プール,プール,無料開放,水泳,無料開放,10/9(祝),9:00~20:30,当日会場へ,無料,どなたでも(小学4年生以下は保護者(16歳以上)同伴。また保護者1人につき子ども3人まで),地下鉄「扇町」駅/JR「天満」駅,北区扇町1-1,電話:06-6363-8911,電話:06-6363-8911,http://osakashi.opas.jp/genre/swim/tyubu_kitaku_tyuoku_nishiku_tennojiku_naniwaku/pool/index.html,,,,,,,1,,1,1,,
32,プール,扇町プール,プール,アクアリズム45,水中エクササイズ,色々な世代の歌謡曲に合わせて、水中で様々な動作を行い、膝への負担も少なく楽しくする運動。,10/9(祝),9:45~10:35,当日会場へ先着順30名,無料,中学生以上,地下鉄「扇町」駅/JR「天満」駅,北区扇町1-1,電話:06-6363-8911,電話:06-6363-8911,http://osakashi.opas.jp/genre/swim/tyubu_kitaku_tyuoku_nishiku_tennojiku_naniwaku/pool/index.html,,,,1,,,1,1,,,,
33,プール,扇町プール,プール,脂肪バイバイ,水中エクササイズ,水中でのジョギングと筋力トレーニングを交互に行い、脂肪を効率よく燃焼させる運動。,10/9(祝),14:00~14:30,当日会場へ先着順30名,無料,,地下鉄「扇町」駅/JR「天満」駅,北区扇町1-1,電話:06-6363-8911,電話:06-6363-8911,http://osakashi.opas.jp/genre/swim/tyubu_kitaku_tyuoku_nishiku_tennojiku_naniwaku/pool/index.html,,,,1,,,1,1,,,,
34,プール,下福島プール,プール,無料開放,水泳,無料開放,10/9(祝),9:00~20:30,当日会場へ,無料,どなたでも(小学4年生以下は保護者(16歳以上)同伴。また保護者1人につき子ども3人まで),JR「新福島」駅,福島区福島4-1-82,電話:06-6444-3450,電話:06-6444-3450,http://osakashi.opas.jp/genre/swim/seibu_minatoku_taisyoku_hukushimaku_konohanaku/shimofukushimapool/index.html,,,,,,,1,,1,1,,
35,プール,下福島プール,トレーニング場,ヨガ教室体験,ヨガ,体の歪み・ねじれを矯正して健康な体に近づける教室。,10/9(祝),11:45~12:45,当日受付先着順20名,500円(別途施設利用料必要),16歳以上,JR「新福島」駅,福島区福島4-1-82,電話:06-6444-3450,電話:06-6444-3450,http://osakashi.opas.jp/genre/swim/seibu_minatoku_taisyoku_hukushimaku_konohanaku/shimofukushimapool/index.html,,,,1,,,1,1,,,1,1
36,プール,下福島プール,トレーニング場,ラテンダンス教室体験,エクササイズ,ラテンのリズムに乗って情熱的なダンスをする教室。,10/9(祝),13:00~14:00,当日受付先着順20名,500円(別途施設利用料必要),16歳以上,JR「新福島」駅,福島区福島4-1-82,電話:06-6444-3450,電話:06-6444-3450,http://osakashi.opas.jp/genre/swim/seibu_minatoku_taisyoku_hukushimaku_konohanaku/shimofukushimapool/index.html,,,,1,,,1,,,,1,1
37,プール,下福島プール,トレーニング場,ダイエットヨガ教室体験,エクササイズ,ヨガのポーズを連続して行い、シェイプアップに効果的な教室。,10/9(祝),19:00~20:00,当日受付先着順20名,500円(別途施設利用料必要),16歳以上,JR「新福島」駅,福島区福島4-1-82,電話:06-6444-3450,電話:06-6444-3450,http://osakashi.opas.jp/genre/swim/seibu_minatoku_taisyoku_hukushimaku_konohanaku/shimofukushimapool/index.html,,,,1,,,1,,,,1,1
38,プール,此花屋内プール,プール,無料開放,水泳,無料開放,10/9(祝),9:00~20:30,当日会場へ,無料,どなたでも(小学4年生以下は保護者(16歳以上)同伴。また保護者1人につき子ども3人まで),JR・阪神「西九条」駅,此花区西九条5-4-21,電話:06-6465-6700,電話:06-6465-6700,http://osakashi.opas.jp/genre/swim/seibu_minatoku_taisyoku_hukushimaku_konohanaku/konohanaokunaipool/index.html,,,,,,,1,,1,1,,
39,プール,此花屋内プール,スタジオ,かろやか健康体操,体操,バランスボールを使った体幹トレーニング。,10/9(祝),11:00~12:00/13:00~14:00,事前受付(先着順)H29.9.12受付開始電話・来館,無料(施設利用料は必要),16歳以上,JR・阪神「西九条」駅,此花区西九条5-4-21,電話:06-6465-6700,電話:06-6465-6700,http://osakashi.opas.jp/genre/swim/seibu_minatoku_taisyoku_hukushimaku_konohanaku/konohanaokunaipool/index.html,1,,,,,,1,1,,,,
40,プール,此花屋内プール,スタジオ,キッズダンス教室,エクササイズ,音楽にあわせて体を動かし踊る教室。,10/9(祝),16:10~16:55,,無料,未就学児(年中~),JR・阪神「西九条」駅,此花区西九条5-4-21,電話:06-6465-6700,電話:06-6465-6700,http://osakashi.opas.jp/genre/swim/seibu_minatoku_taisyoku_hukushimaku_konohanaku/konohanaokunaipool/index.html,,,,1,,,1,,,1,,1
41,プール,此花屋内プール,スタジオ,こどもHIPHOP教室,エクササイズ,音楽にあわせて体を動かし踊る教室。,10/9(祝),17:00~18:00,,無料,小学生以上,JR・阪神「西九条」駅,此花区西九条5-4-21,電話:06-6465-6700,電話:06-6465-6700,http://osakashi.opas.jp/genre/swim/seibu_minatoku_taisyoku_hukushimaku_konohanaku/konohanaokunaipool/index.html,,,,1,,,1,,,1,,1
42,プール,中央屋内プール,プール,無料開放,水泳,無料開放,10/9(祝),9:00~20:30,当日会場へ,無料,どなたでも(小学4年生以下は保護者(16歳以上)同伴。また保護者1人につき子ども3人まで),地下鉄「長堀橋」駅・「日本橋」駅,中央区島之内2-7-8,電話:06-6212-5473,電話:06-6212-5473,http://osakashi.opas.jp/genre/swim/tyubu_kitaku_tyuoku_nishiku_tennojiku_naniwaku/tyuuou_pool/index.html,,,,,,,1,,1,1,,
43,プール,中央屋内プール,プール,はじめてのアクアビクス,水中エクササイズ,水中で音楽に合わせて楽しく身体を動かす運動。泳げない方でも参加可能。,10/9(祝),12:00~12:45(最終受付11:50),なし,無料,16歳以上,地下鉄「長堀橋」駅・「日本橋」駅,中央区島之内2-7-8,電話:06-6212-5473,電話:06-6212-5473,http://osakashi.opas.jp/genre/swim/tyubu_kitaku_tyuoku_nishiku_tennojiku_naniwaku/tyuuou_pool/index.html,,,,1,,,1,1,,,,
44,プール,中央屋内プール,スタジオ,はじめてのエアロビクス,エアロビクス,誰にでもできる「やさしい」エアロビクス教室。,10/9(祝),14:30~15:00(最終受付14:20),当日会場へ先着順15名※フロアシューズ持参,無料(施設利用料は必要),16歳以上,地下鉄「長堀橋」駅・「日本橋」駅,中央区島之内2-7-8,電話:06-6212-5473,電話:06-6212-5473,http://osakashi.opas.jp/genre/swim/tyubu_kitaku_tyuoku_nishiku_tennojiku_naniwaku/tyuuou_pool/index.html,,,1,,,,1,,,,,1
45,プール,西屋内プール,プール,無料開放,水泳,無料開放,10/9(祝),9:00~20:30,当日会場へ,無料,どなたでも(小学4年生以下は保護者(16歳以上)同伴。また保護者1人につき子ども3人まで),地下鉄「阿波座」駅/市バス「本田1丁目」,西区本田1-4-16,電話:06-6581-7601,電話:06-6581-7601,http://osakashi.opas.jp/genre/swim/tyubu_kitaku_tyuoku_nishiku_tennojiku_naniwaku/nishiokunaipool/index.html,,,,,,,1,,1,1,,
46,プール,西屋内プール,プール,はじめてスイミング(バタフライ),水泳,バタフライに初めて挑戦したい方の教室。,10/9(祝),11:45~12:30,当日会場へ先着順10名,無料,中学生以上,地下鉄「阿波座」駅/市バス「本田1丁目」,西区本田1-4-16,電話:06-6581-7601,電話:06-6581-7601,http://osakashi.opas.jp/genre/swim/tyubu_kitaku_tyuoku_nishiku_tennojiku_naniwaku/nishiokunaipool/index.html,,,,,,,1,1,,,,1
47,プール,西屋内プール,プール,大人スイミングSW,水泳,初級(クロール)・中級(背泳ぎ)に分かれて泳法を練習する教室。,10/9(祝),13:00~14:00,当日会場へ先着順初級15名中級20名,無料,,地下鉄「阿波座」駅/市バス「本田1丁目」,西区本田1-4-16,電話:06-6581-7601,電話:06-6581-7601,http://osakashi.opas.jp/genre/swim/tyubu_kitaku_tyuoku_nishiku_tennojiku_naniwaku/nishiokunaipool/index.html,,,,,,,1,1,,,,1
48,プール,西屋内プール,プール,フィンスイミング,水泳,フィンを使用し体験できる教室。,10/9(祝),14:30~15:30,当日会場へ先着順9名,無料,,地下鉄「阿波座」駅/市バス「本田1丁目」,西区本田1-4-16,電話:06-6581-7601,電話:06-6581-7601,http://osakashi.opas.jp/genre/swim/tyubu_kitaku_tyuoku_nishiku_tennojiku_naniwaku/nishiokunaipool/index.html,,,,,,,1,,,,1,1
49,プール,大阪プール,プール,25Mプール無料開放,水泳,25Mプール無料開放,10/9(祝),9:00~20:30,当日会場へ,無料,どなたでも(小学4年生以下は保護者(16歳以上)同伴。また保護者1人につき子ども3人まで),地下鉄「朝潮橋」駅,港区田中3-1-20,電話:06-6571-2010,電話:06-6571-2010,http://osakashi.opas.jp/genre/swim/seibu_minatoku_taisyoku_hukushimaku_konohanaku/osakapool/index.html,,,,,,,1,,1,1,,
50,プール,大阪プール,健康運動教室,筋トレ＆脳トレ(第6会議室),エクササイズ,個人の能力に合わせて筋力トレーニングと脳のトレーニング。,10/9(祝),9:30~10:30,当日受付先着順30名,無料,シニア向け(どなたでも),地下鉄「朝潮橋」駅,港区田中3-1-20,電話:06-6571-2010,電話:06-6571-2010,http://osakashi.opas.jp/genre/swim/seibu_minatoku_taisyoku_hukushimaku_konohanaku/osakapool/index.html,,,,1,,,1,1,,,,
51,プール,西淀川屋内プール,プール,無料開放,水泳,無料開放,10/9(祝),9:00~20:30,当日会場へ,無料,どなたでも(小学4年生以下は保護者(16歳以上)同伴。また保護者1人につき子ども3人まで),阪神なんば線「福」駅,西淀川区大和田2-5-7,電話:06-6474-9940,電話:06-6474-9940,http://osakashi.opas.jp/genre/swim/hokubu_nishiyodogawaku_yodogawaku_higashiyodogawaku/nishiyodo_pool/index.html,,,,,,,1,,1,1,,
52,プール,西淀川屋内プール,プール,アクアビクス,水中エクササイズ,水中で音楽に合わせて楽しく身体を動す運動。,10/9(祝),9:30~10:00,当日受付先着順70名,無料,16歳以上,阪神なんば線「福」駅,西淀川区大和田2-5-7,電話:06-6474-9940,電話:06-6474-9940,http://osakashi.opas.jp/genre/swim/hokubu_nishiyodogawaku_yodogawaku_higashiyodogawaku/nishiyodo_pool/index.html,,,,1,,,1,1,,,,
53,プール,西淀川屋内プール,プール,ウォーターバルーン体験,その他,直径1メートルから2メートルのバルーンの中に入り、歩く体験。,10/9(祝),10:30~11:30,当日受付先着順100名,無料,どなたでも,阪神なんば線「福」駅,西淀川区大和田2-5-7,電話:06-6474-9940,電話:06-6474-9940,http://osakashi.opas.jp/genre/swim/hokubu_nishiyodogawaku_yodogawaku_higashiyodogawaku/nishiyodo_pool/index.html,,,,,1,,1,,,,1,
54,プール,西淀川屋内プール,プール,キッズコーナー,その他,浮島や滑り台で子どもに遊べるコーナー。,10/9(祝),14:00~15:00,当日受付,無料,子ども,阪神なんば線「福」駅,西淀川区大和田2-5-7,電話:06-6474-9940,電話:06-6474-9940,http://osakashi.opas.jp/genre/swim/hokubu_nishiyodogawaku_yodogawaku_higashiyodogawaku/nishiyodo_pool/index.html,,,,,,,,,,1,,
55,プール,西淀川屋内プール,プール,アクアウオーキング,水中エクササイズ,水中を歩く運動。,10/9(祝),18:35~18:55,当日受付先着順20名,無料,16歳以上,阪神なんば線「福」駅,西淀川区大和田2-5-7,電話:06-6474-9940,電話:06-6474-9940,http://osakashi.opas.jp/genre/swim/hokubu_nishiyodogawaku_yodogawaku_higashiyodogawaku/nishiyodo_pool/index.html,,,,1,,,1,1,,,,
56,プール,西淀川屋内プール,スタジオ,ストレッジボール,エクササイズ,円形状のポールを使用してストレッチする運動。,10/9(祝),9:30~9:45,当日受付先着順20名,無料,16歳以上,阪神なんば線「福」駅,西淀川区大和田2-5-7,電話:06-6474-9940,電話:06-6474-9940,http://osakashi.opas.jp/genre/swim/hokubu_nishiyodogawaku_yodogawaku_higashiyodogawaku/nishiyodo_pool/index.html,1,,,1,,,1,,,,,
57,プール,西淀川屋内プール,スタジオ,ズンバゴールド,エアロビクス,ズンバゴールドという名称のエアロビクスの体験。,10/9(祝),10:30~11:15,当日受付先着順20名,無料,16歳以上,阪神なんば線「福」駅,西淀川区大和田2-5-7,電話:06-6474-9940,電話:06-6474-9940,http://osakashi.opas.jp/genre/swim/hokubu_nishiyodogawaku_yodogawaku_higashiyodogawaku/nishiyodo_pool/index.html,,,1,,,,1,,,,1,
58,プール,淀川屋内プール,プール,無料開放,水泳,無料開放,10/9(祝),9:00~19:15,当日受付,無料,どなたでも(小学4年生以下は保護者(16歳以上)同伴。また保護者1人につき子ども3人まで),阪急「十三」駅,淀川区十三東2-3-1,電話:06-6885-1711,電話:06-6885-1711,http://osakashi.opas.jp/genre/swim/hokubu_nishiyodogawaku_yodogawaku_higashiyodogawaku/yodogawa_pool/index.html,,,,,,,1,,1,1,,
59,プール,東淀川屋内プール,プール,無料開放,水泳,無料開放,10/9(祝),9:00~20:30,当日会場へ,無料,どなたでも(小学4年生以下は保護者(16歳以上)同伴。また保護者1人につき子ども3人まで),阪急「淡路」駅,東淀川区東淡路1-4-53,電話:06-6325-5077,電話:06-6325-5077,http://osakashi.opas.jp/genre/swim/hokubu_nishiyodogawaku_yodogawaku_higashiyodogawaku/higashiyodo_pool/index.html,,,,,,,1,,1,1,,
